Service,Library,Description,Expected,Actual
aut-d-partyauth-xd-ea-em,pkg:maven/org.springframework/spring-expression@6.2.18,CVE-2026-41850,"6.0.0, 6.2.19, 7.0.8",6.2.18
aut-d-partyauth-xd-ea-em,pkg:maven/org.springframework/spring-web@6.2.18,CVE-2026-41839,"6.0.0, 6.2.19, 7.0.8",6.2.18
aut-d-partyauth-xd-ea-em,pkg:maven/org.springframework.retry/spring-retry@2.0.12,CVE-2026-41710,2.0.13,2.0.12
aut-d-partyauth-xd-ea-em,pkg:maven/org.springframework/spring-core@6.2.18,CVE-2026-41851,"6.0.0, 6.2.19, 7.0.8",6.2.18
aut-d-partyauth-xd-ea-em,pkg:maven/org.springframework/spring-webmvc@6.2.18,CVE-2026-41846,"6.0.0, 6.2.19, 7.0.8",6.2.18
aut-d-partyauth-xd-ea-em,pkg:maven/io.micrometer/micrometer-core@1.15.11,CVE-2026-40984,"1.10.0, 1.15.12, 1.16.6",1.15.11
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/org.springframework/spring-webmvc@7.0.7,CVE-2026-41846,"6.0.0, 6.2.19, 7.0.8",7.0.7
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/org.springframework/spring-core@7.0.7,CVE-2026-41851,"6.0.0, 6.2.19, 7.0.8",7.0.7
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/io.micrometer/micrometer-core@1.16.5,CVE-2026-40984,"1.10.0, 1.15.12, 1.16.6",1.16.5
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/io.opentelemetry/opentelemetry-api@1.55.0,CVE-2026-45292,1.62.0,1.55.0
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/org.springframework.retry/spring-retry@2.0.12,CVE-2026-41710,2.0.13,2.0.12
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/org.springframework/spring-expression@7.0.7,CVE-2026-41850,"6.0.0, 6.2.19, 7.0.8",7.0.7
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/org.springframework/spring-web@7.0.7,CVE-2026-41839,"6.0.0, 6.2.19, 7.0.8",7.0.7
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/org.springframework/spring-core@6.2.17,CVE-2026-41851,"6.0.0, 6.2.19, 7.0.8",6.2.17
xp-d-issdvcadmin-card-xd-ea-em,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.52,CVE-2026-41284,"11.0.22, 10.1.55, 9.0.118",10.1.52
